Resource ARN,Tags
arn:aws:cloudformation:us-east-1:664967481508:stack/SC-664967481508-pp-q3nymnhdsa2fq/9dc6a1e0-2bcb-11ee-a924-0acc93b2964d,"aws:servicecatalog:productArn:arn:aws:catalog:us-east-1:664967481508:product/prod-35xq7t6acai44, aws:servicecatalog:provisioningPrincipalArn:arn:aws:iam::664967481508:user/hulls, aws:servicecatalog:provisioningArtifactIdentifier:pa-rjk2l5qvhjggk, aws:servicecatalog:portfolioArn:arn:aws:catalog:us-east-1:664967481508:portfolio/port-x33z5tnjs6mr2, aws:servicecatalog:provisionedProductArn:arn:aws:servicecatalog:us-east-1:664967481508:stack/3._Budget_Setup-07261506/pp-q3nymnhdsa2fq"
arn:aws:cloudformation:us-east-1:664967481508:stack/SC-664967481508-pp-x6txxppdxdvxo/b3f1f740-2ca1-11ee-9d25-0e6b02addf03,"aws:servicecatalog:productArn:arn:aws:catalog:us-east-1:664967481508:product/prod-7ezx6skxirzgw, aws:servicecatalog:provisioningPrincipalArn:arn:aws:iam::664967481508:user/RadarUser1, aws:servicecatalog:provisioningArtifactIdentifier:pa-n7c6l4fxzabns, aws:servicecatalog:portfolioArn:arn:aws:catalog:us-east-1:664967481508:portfolio/port-h3rflsmo35vva, aws:servicecatalog:provisionedProductArn:arn:aws:servicecatalog:us-east-1:664967481508:stack/POD_EC2_Instance-07271704/pp-x6txxppdxdvxo"
arn:aws:cloudformation:us-east-1:664967481508:stack/iam-stack-dev/fd91cec0-15d6-11ee-8e9c-0abac4ec8375,"Project:proserve-ssm, Billingpoc:None, Org:None, Team:None, SPID:None"
arn:aws:cloudformation:us-east-1:664967481508:stack/aws-python-scheduled-cron-dev/3bf99ad0-c8c0-11e8-ab8e-50d5cafe76fe,STAGE:dev
arn:aws:cloudformation:us-east-1:664967481508:stack/SC-664967481508-pp-emjkfi4ff7ofc/f036dd70-48fc-11ee-8ce0-125645bd0fbb,"aws:servicecatalog:productArn:arn:aws:catalog:us-east-1:664967481508:product/prod-35xq7t6acai44, aws:servicecatalog:provisioningPrincipalArn:arn:aws:iam::664967481508:user/perlmutterk, aws:servicecatalog:provisioningArtifactIdentifier:pa-b6pyhstogcfng, aws:servicecatalog:portfolioArn:arn:aws:catalog:us-east-1:664967481508:portfolio/port-x33z5tnjs6mr2, aws:servicecatalog:provisionedProductArn:arn:aws:servicecatalog:us-east-1:664967481508:stack/foundation-pod-budget-setup/pp-emjkfi4ff7ofc"
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/qic-sayari-tf-lock-ProvisionedCapacityLow-c8662467-018e-4bdc-b205-4aff7ce24e3c,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/qic-sayari-tf-lock-AlarmLow-cb447c53-742b-484f-9252-334f371eb35f,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/rle-backup-delete-AlarmLow-457c51f4-e571-4100-878b-a3966f89f21d,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/qic-sayari-tf-lock-ProvisionedCapacityLow-e5e3d958-55a5-4a98-a1ee-0ec6618c1625,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/instance-history-AlarmLow-493014d0-c3b9-432b-b67f-311762580ed1,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/rle-backup-delete-ProvisionedCapacityHigh-0ead024f-7eac-48af-8a71-f5999f65ec80,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:s3_failed_access-WriteCapacityUnitsLimit-BasicAlarm,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:s3_failed_access-ReadCapacityUnitsLimit-BasicAlarm,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/s3_object_last_accessed-AlarmHigh-c90405c9-b057-417c-b4a6-535f72d7f8cc,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/s3_rleu_backups-ProvisionedCapacityLow-1ef9971c-e1ef-4c61-a7ad-8cc17b8eeed4,
arn:aws:cloudwatch:us-east-1:664967481508:alarm:TargetTracking-table/instance-history-AlarmHigh-c7de0c03-ec5d-4935-8d98-6c6d554873c7,
